image,caption
1000268201_693b08cb0e.jpg,<start> child in pink dress is climbing up set of stairs in an entry way <end>
1001773457_577c3a7d70.jpg,<start> black dog and spotted dog are fighting <end>
1002674143_1b742ab4b8.jpg,<start> little girl covered in paint sits in front of painted rainbow with her hands in bowl <end>
1003163366_44323f5815.jpg,<start> man lays on bench while his dog sits by him <end>
1007129816_e794419615.jpg,<start> man in an orange hat starring at something <end>
1007320043_627395c3d8.jpg,<start> child playing on rope net <end>
1009434119_febe49276a.jpg,<start> black and white dog is running in grassy garden surrounded by white fence <end>
1012212859_01547e3f17.jpg,<start> dog shakes its head near the shore red ball next to it <end>
1015118661_980735411b.jpg,<start> boy smiles in front of stony wall in city <end>
1015584366_dfcec3c85a.jpg,<start> black dog leaps over log <end>
101654506_8eb26cfb60.jpg,<start> brown and white dog is running through the snow <end>
101669240_b2d3e7f17b.jpg,<start> man in hat is displaying pictures next to skier in blue hat <end>
1016887272_03199f49c4.jpg,<start> collage of one person climbing cliff <end>
1019077836_6fc9b15408.jpg,<start> brown dog chases the water from sprinkler on lawn <end>
1019604187_d087bf9a5f.jpg,<start> dog prepares to catch thrown object in field with nearby cars <end>
1020651753_06077ec457.jpg,<start> black and white dog jumping in the air to get toy <end>
1022454332_6af2c1449a.jpg,<start> child and woman are at waters edge in big city <end>
1022454428_b6b660a67b.jpg,<start> couple and an infant being held by the male sitting next to pond with near by stroller <end>
1022975728_75515238d8.jpg,<start> black dog running in the surf <end>
102351840_323e3de834.jpg,<start> man drilling hole in the ice <end>
1024138940_f1fefbdce1.jpg,<start> two different breeds of brown and white dogs play on the beach <end>
102455176_5f8ead62d5.jpg,<start> man uses ice picks and crampons to scale ice <end>
1026685415_0431cbf574.jpg,<start> black dog carries green toy in his mouth as he walks through the grass <end>
1028205764_7e8df9a2ea.jpg,<start> man and baby are in yellow kayak on water <end>
1030985833_b0902ea560.jpg,<start> black dog and brown dog are jumping up to catch red toy <end>
103106960_e8a41d64f8.jpg,<start> boy with stick kneeling in front of goalie net <end>
103195344_5d2dc613a3.jpg,<start> man in black is sitting next to modern art structure in front of glass building <end>
103205630_682ca7285b.jpg,<start> tent is being set up on the ice <end>
1032122270_ea6f0beedb.jpg,<start> woman crouches near three dogs in field <end>
1032460886_4a598ed535.jpg,<start> man is standing in front of skyscraper <end>
1034276567_49bb87c51c.jpg,<start> boy bites hard into treat while he sits outside <end>
104136873_5b5d41be75.jpg,<start> people sit on the mountainside and check out the view <end>
1042020065_fb3d3ba5ba.jpg,<start> boy in green shirt is looking down at many inflatable boats <end>
1042590306_95dea0916c.jpg,<start> man and woman pose for the camera while another man looks on <end>
1045521051_108ebc19be.jpg,<start> person eats takeout while watching small television <end>
1048710776_bb5b0a5c7c.jpg,<start> couple of several people sitting on ledge overlooking the beach <end>
1052358063_eae6744153.jpg,<start> boy takes jump on his skateboard while another boy with skateboard watches <end>
105342180_4d4a40b47f.jpg,<start> girl paddling down large river as seen from behind her <end>
1053804096_ad278b25f1.jpg,<start> girl in pigtails splashes in the shallow water <end>
1055623002_8195a43714.jpg,<start> group of four children wearing pajamas have pillow fight <end>
1055753357_4fa3d8d693.jpg,<start> two constructions workers sit on beam taking break <end>
1056249424_ef2a2e041c.jpg,<start> the children are playing in the water <end>
1056338697_4f7d7ce270.jpg,<start> blond woman in blue shirt appears to wait for ride <end>
1056359656_662cee0814.jpg,<start> little girl looking at brochure on train rides <end>
1056873310_49c665eb22.jpg,<start> brown dog is running after black dog on rocky shore <end>
1057089366_ca83da0877.jpg,<start> boy descends off the end of high diving board <end>
1057210460_09c6f4c6c1.jpg,<start> guy stands by window taking his overshirt off <end>
1057251835_6ded4ada9c.jpg,<start> lightcolored dog runs on the beach <end>
106490881_5a2dd9b7bd.jpg,<start> boy in his blue swim shorts at the beach <end>
106514190_bae200f463.jpg,<start> hiker standing high on bluff overlooking the mountains below <end>
1067180831_a59dc64344.jpg,<start> black and white dog is attempting to catch yellow and purple object in low cut yard <end>
1067675215_7336a694d6.jpg,<start> man in blue shorts is laying in the street <end>
1067790824_f3cc97239b.jpg,<start> white and black dog and brown dog in sandy terrain <end>
1072153132_53d2bb1b60.jpg,<start> black and white dog catches toy in midair <end>
107318069_e9f2ef32de.jpg,<start> crowd watching air balloons at night <end>
1075716537_62105738b4.jpg,<start> child with helmet on his head rides bike <end>
107582366_d86f2d3347.jpg,<start> group of eight people are gathered around table at night <end>
1075867198_27ca2e7efe.jpg,<start> man in brown shirt and dark shorts plays on the beach with his two black dogs <end>
1075881101_d55c46bece.jpg,<start> boy cleans the bubbles off his face <end>
1077546505_a4f6c4daa9.jpg,<start> boy in blue shorts slides down slide into pool <end>
1077931201_1e0bb83105.jpg,<start> man in wetsuit is throwing baby wearing wetsuit up into the air <end>
1079274291_9aaf896cc1.jpg,<start> little boy sticks his tongue out for the camera another boy looks on <end>
10815824_2997e03d76.jpg,<start> blonde horse and blonde girl in black sweatshirt are staring at fire in barrel <end>
1082252566_8c79beef93.jpg,<start> bulldog sheep dog and boxer standing in yard <end>
1082379191_ec1e53f996.jpg,<start> lady and man with no shirt sit on dock <end>
1084040636_97d9633581.jpg,<start> closeup of white dog that is laying its head on its paws <end>
1084104085_3b06223afe.jpg,<start> woman in yellow shirt and green shorts is climbing an artificial red wall whilst wearing safety harness <end>
1087168168_70280d024a.jpg,<start> boy is jumping on an inflatable ring and girl is watching him <end>
1087539207_9f77ab3aaf.jpg,<start> family playing on tractor on beautiful day <end>
1088767354_2acee738cf.jpg,<start> woman in red costume to the left of man and woman standing together <end>
108898978_7713be88fc.jpg,<start> skiiers walking up the hill through forest <end>
108899015_bf36131a57.jpg,<start> lone skier is making their way up mountain <end>
1089181217_ee1167f7af.jpg,<start> brown dog running down paved pathway <end>
1089755335_0bfbfd30e6.jpg,<start> mother and children is fishing on boardwalk at night <end>
109202756_b97fcdc62c.jpg,<start> woman dressed in blue jacket and blue jeans rides brown horse near frozen lake and snowcovered mountain <end>
109202801_c6381eef15.jpg,<start> two draft horses pull cart through the snow <end>
109260216_85b0be5378.jpg,<start> person climbing down sheer rock cliff using rope <end>
109260218_fca831f933.jpg,<start> people stand inside rock dome <end>
1093716555_801aacef79.jpg,<start> group of backpackers lay on the dry ground <end>
1093737381_b313cd49ff.jpg,<start> woman in blue dress stands with chalk portrait of two children playing by stream <end>
1094462889_f9966dafa6.jpg,<start> brown dog plays in deep pile of snow <end>
1095476286_87d4f8664e.jpg,<start> boy jumping in fountain <end>
1095580424_76f0aa8a3e.jpg,<start> corgi runs out of tunnel <end>
1095590286_c654f7e5a9.jpg,<start> blond dog and black and white dog run in dirt field <end>
