image,caption
1000268201_693b08cb0e.jpg,child in pink dress is climbing up set of stairs in an entry way
1001773457_577c3a7d70.jpg,black dog and spotted dog are fighting
1002674143_1b742ab4b8.jpg,little girl covered in paint sits in front of painted rainbow with her hands in bowl
1003163366_44323f5815.jpg,man lays on bench while his dog sits by him
1007129816_e794419615.jpg,man in an orange hat starring at something
1007320043_627395c3d8.jpg,child playing on rope net
1009434119_febe49276a.jpg,black and white dog is running in grassy garden surrounded by white fence
1012212859_01547e3f17.jpg,dog shakes its head near the shore red ball next to it
1015118661_980735411b.jpg,boy smiles in front of stony wall in city
1015584366_dfcec3c85a.jpg,black dog leaps over log
101654506_8eb26cfb60.jpg,brown and white dog is running through the snow
101669240_b2d3e7f17b.jpg,man in hat is displaying pictures next to skier in blue hat
1016887272_03199f49c4.jpg,collage of one person climbing cliff
1019077836_6fc9b15408.jpg,brown dog chases the water from sprinkler on lawn
1019604187_d087bf9a5f.jpg,dog prepares to catch thrown object in field with nearby cars
1020651753_06077ec457.jpg,black and white dog jumping in the air to get toy
1022454332_6af2c1449a.jpg,child and woman are at waters edge in big city
1022454428_b6b660a67b.jpg,couple and an infant being held by the male sitting next to pond with near by stroller
1022975728_75515238d8.jpg,black dog running in the surf
102351840_323e3de834.jpg,man drilling hole in the ice
1024138940_f1fefbdce1.jpg,two different breeds of brown and white dogs play on the beach
102455176_5f8ead62d5.jpg,man uses ice picks and crampons to scale ice
1026685415_0431cbf574.jpg,black dog carries green toy in his mouth as he walks through the grass
1028205764_7e8df9a2ea.jpg,man and baby are in yellow kayak on water
1030985833_b0902ea560.jpg,black dog and brown dog are jumping up to catch red toy
103106960_e8a41d64f8.jpg,boy with stick kneeling in front of goalie net
103195344_5d2dc613a3.jpg,man in black is sitting next to modern art structure in front of glass building
103205630_682ca7285b.jpg,tent is being set up on the ice
1032122270_ea6f0beedb.jpg,woman crouches near three dogs in field
1032460886_4a598ed535.jpg,man is standing in front of skyscraper
1034276567_49bb87c51c.jpg,boy bites hard into treat while he sits outside
104136873_5b5d41be75.jpg,people sit on the mountainside and check out the view
1042020065_fb3d3ba5ba.jpg,boy in green shirt is looking down at many inflatable boats
1042590306_95dea0916c.jpg,man and woman pose for the camera while another man looks on
1045521051_108ebc19be.jpg,person eats takeout while watching small television
1048710776_bb5b0a5c7c.jpg,couple of several people sitting on ledge overlooking the beach
1052358063_eae6744153.jpg,boy takes jump on his skateboard while another boy with skateboard watches
105342180_4d4a40b47f.jpg,girl paddling down large river as seen from behind her
1053804096_ad278b25f1.jpg,girl in pigtails splashes in the shallow water
1055623002_8195a43714.jpg,group of four children wearing pajamas have pillow fight
1055753357_4fa3d8d693.jpg,two constructions workers sit on beam taking break
1056249424_ef2a2e041c.jpg,the children are playing in the water
1056338697_4f7d7ce270.jpg,blond woman in blue shirt appears to wait for ride
1056359656_662cee0814.jpg,little girl looking at brochure on train rides
1056873310_49c665eb22.jpg,brown dog is running after black dog on rocky shore
1057089366_ca83da0877.jpg,boy descends off the end of high diving board
1057210460_09c6f4c6c1.jpg,guy stands by window taking his overshirt off
1057251835_6ded4ada9c.jpg,lightcolored dog runs on the beach
106490881_5a2dd9b7bd.jpg,boy in his blue swim shorts at the beach
106514190_bae200f463.jpg,hiker standing high on bluff overlooking the mountains below
1067180831_a59dc64344.jpg,black and white dog is attempting to catch yellow and purple object in low cut yard
1067675215_7336a694d6.jpg,man in blue shorts is laying in the street
1067790824_f3cc97239b.jpg,white and black dog and brown dog in sandy terrain
1072153132_53d2bb1b60.jpg,black and white dog catches toy in midair
107318069_e9f2ef32de.jpg,crowd watching air balloons at night
1075716537_62105738b4.jpg,child with helmet on his head rides bike
107582366_d86f2d3347.jpg,group of eight people are gathered around table at night
1075867198_27ca2e7efe.jpg,man in brown shirt and dark shorts plays on the beach with his two black dogs
1075881101_d55c46bece.jpg,boy cleans the bubbles off his face
1077546505_a4f6c4daa9.jpg,boy in blue shorts slides down slide into pool
1077931201_1e0bb83105.jpg,man in wetsuit is throwing baby wearing wetsuit up into the air
1079274291_9aaf896cc1.jpg,little boy sticks his tongue out for the camera another boy looks on
10815824_2997e03d76.jpg,blonde horse and blonde girl in black sweatshirt are staring at fire in barrel
1082252566_8c79beef93.jpg,bulldog sheep dog and boxer standing in yard
