image,caption
1000268201_693b08cb0e.jpg,<start> child in pink dress is climbing up set of stairs in an entry way <end>
1000268201_693b08cb0e.jpg,<start> girl going into wooden building <end>
1000268201_693b08cb0e.jpg,<start> little girl climbing into wooden playhouse <end>
1000268201_693b08cb0e.jpg,<start> little girl climbing the stairs to her playhouse <end>
1000268201_693b08cb0e.jpg,<start> little girl in pink dress going into wooden cabin <end>
1001773457_577c3a7d70.jpg,<start> black dog and spotted dog are fighting <end>
1001773457_577c3a7d70.jpg,<start> black dog and tricolored dog playing with each other on the road <end>
1001773457_577c3a7d70.jpg,<start> black dog and white dog with brown spots are staring at each other in the street <end>
1001773457_577c3a7d70.jpg,<start> two dogs of different breeds looking at each other on the road <end>
1001773457_577c3a7d70.jpg,<start> two dogs on pavement moving toward each other <end>
1002674143_1b742ab4b8.jpg,<start> little girl covered in paint sits in front of painted rainbow with her hands in bowl <end>
1002674143_1b742ab4b8.jpg,<start> little girl is sitting in front of large painted rainbow <end>
1002674143_1b742ab4b8.jpg,<start> small girl in the grass plays with fingerpaints in front of white canvas with rainbow on it <end>
1002674143_1b742ab4b8.jpg,<start> there is girl with pigtails sitting in front of rainbow painting <end>
1002674143_1b742ab4b8.jpg,<start> young girl with pigtails painting outside in the grass <end>
1003163366_44323f5815.jpg,<start> man lays on bench while his dog sits by him <end>
1003163366_44323f5815.jpg,<start> man lays on the bench to which white dog is also tied <end>
1003163366_44323f5815.jpg,<start> man sleeping on bench outside with white and black dog sitting next to him <end>
1003163366_44323f5815.jpg,<start> shirtless man lies on park bench with his dog <end>
1003163366_44323f5815.jpg,<start> man laying on bench holding leash of dog sitting on ground <end>
1007129816_e794419615.jpg,<start> man in an orange hat starring at something <end>
1007129816_e794419615.jpg,<start> man wears an orange hat and glasses <end>
1007129816_e794419615.jpg,<start> man with gauges and glasses is wearing blitz hat <end>
1007129816_e794419615.jpg,<start> man with glasses is wearing beer can crocheted hat <end>
1007129816_e794419615.jpg,<start> the man with pierced ears is wearing glasses and an orange hat <end>
1007320043_627395c3d8.jpg,<start> child playing on rope net <end>
1007320043_627395c3d8.jpg,<start> little girl climbing on red roping <end>
1007320043_627395c3d8.jpg,<start> little girl in pink climbs rope bridge at the park <end>
1007320043_627395c3d8.jpg,<start> small child grips onto the red ropes at the playground <end>
1007320043_627395c3d8.jpg,<start> the small child climbs on red ropes on playground <end>
1009434119_febe49276a.jpg,<start> black and white dog is running in grassy garden surrounded by white fence <end>
1009434119_febe49276a.jpg,<start> black and white dog is running through the grass <end>
1009434119_febe49276a.jpg,<start> boston terrier is running in the grass <end>
1009434119_febe49276a.jpg,<start> boston terrier is running on lush green grass in front of white fence <end>
1009434119_febe49276a.jpg,<start> dog runs on the green grass near wooden fence <end>
1012212859_01547e3f17.jpg,<start> dog shakes its head near the shore red ball next to it <end>
1012212859_01547e3f17.jpg,<start> white dog shakes on the edge of beach with an orange ball <end>
1012212859_01547e3f17.jpg,<start> dog with orange ball at feet stands on shore shaking off water <end>
1012212859_01547e3f17.jpg,<start> white dog playing with red ball on the shore near the water <end>
1012212859_01547e3f17.jpg,<start> white dog with brown ears standing near water with head turned to one side <end>
1015118661_980735411b.jpg,<start> boy smiles in front of stony wall in city <end>
1015118661_980735411b.jpg,<start> little boy is standing on the street while man in overalls is working on stone wall <end>
1015118661_980735411b.jpg,<start> young boy runs aross the street <end>
1015118661_980735411b.jpg,<start> young child is walking on stone paved street with metal pole and man behind him <end>
1015118661_980735411b.jpg,<start> smiling boy in white shirt and blue jeans in front of rock wall with man in overalls behind him <end>
1015584366_dfcec3c85a.jpg,<start> black dog leaps over log <end>
1015584366_dfcec3c85a.jpg,<start> grey dog is leaping over fallen tree <end>
1015584366_dfcec3c85a.jpg,<start> large black dog leaps fallen log <end>
1015584366_dfcec3c85a.jpg,<start> mottled black and grey dog in blue collar jumping over fallen tree <end>
1015584366_dfcec3c85a.jpg,<start> the black dog jumped the tree stump <end>
101654506_8eb26cfb60.jpg,<start> brown and white dog is running through the snow <end>
101654506_8eb26cfb60.jpg,<start> dog is running in the snow <end>
101654506_8eb26cfb60.jpg,<start> dog running through snow <end>
101654506_8eb26cfb60.jpg,<start> white and brown dog is running through snow covered field <end>
101654506_8eb26cfb60.jpg,<start> the white and brown dog is running over the surface of the snow <end>
101669240_b2d3e7f17b.jpg,<start> man in hat is displaying pictures next to skier in blue hat <end>
101669240_b2d3e7f17b.jpg,<start> man skis past another man displaying paintings in the snow <end>
101669240_b2d3e7f17b.jpg,<start> person wearing skis looking at framed pictures set up in the snow <end>
101669240_b2d3e7f17b.jpg,<start> skier looks at framed pictures in the snow next to trees <end>
101669240_b2d3e7f17b.jpg,<start> man on skis looking at artwork for sale in the snow <end>
1016887272_03199f49c4.jpg,<start> collage of one person climbing cliff <end>
1016887272_03199f49c4.jpg,<start> group of people are rock climbing on rock climbing wall <end>
1016887272_03199f49c4.jpg,<start> group of people climbing rock while one man belays <end>
1016887272_03199f49c4.jpg,<start> seven climbers are ascending rock face whilst another man stands holding the rope <end>
1016887272_03199f49c4.jpg,<start> several climbers in row are climbing the rock while the man in red watches and holds the line <end>
1019077836_6fc9b15408.jpg,<start> brown dog chases the water from sprinkler on lawn <end>
1019077836_6fc9b15408.jpg,<start> brown dog plays with the hose <end>
1019077836_6fc9b15408.jpg,<start> brown dog running on lawn near garden hose <end>
1019077836_6fc9b15408.jpg,<start> dog is playing with hose <end>
1019077836_6fc9b15408.jpg,<start> large brown dog running away from the sprinkler in the grass <end>
1019604187_d087bf9a5f.jpg,<start> dog prepares to catch thrown object in field with nearby cars <end>
1019604187_d087bf9a5f.jpg,<start> white dog is about to catch yellow ball in its mouth <end>
1019604187_d087bf9a5f.jpg,<start> white dog is about to catch yellow dog toy <end>
1019604187_d087bf9a5f.jpg,<start> white dog is ready to catch yellow ball flying through the air <end>
1019604187_d087bf9a5f.jpg,<start> white dog running after yellow ball <end>
1020651753_06077ec457.jpg,<start> black and white dog jumping in the air to get toy <end>
1020651753_06077ec457.jpg,<start> black and white dog jumps up towards yellow toy <end>
1020651753_06077ec457.jpg,<start> dog leaps to catch ball in field <end>
1020651753_06077ec457.jpg,<start> white dog is trying to catch ball in midair over grassy field <end>
1020651753_06077ec457.jpg,<start> the white dog is playing in green field with yellow toy <end>
1022454332_6af2c1449a.jpg,<start> child and woman are at waters edge in big city <end>
1022454332_6af2c1449a.jpg,<start> large lake with lone duck swimming in it with several people around the edge of it <end>
1022454332_6af2c1449a.jpg,<start> little boy at lake watching duck <end>
1022454332_6af2c1449a.jpg,<start> young boy waves his hand at the duck in the water surrounded by green park <end>
1022454332_6af2c1449a.jpg,<start> two people are at the edge of lake facing the water and the city skyline <end>
1022454428_b6b660a67b.jpg,<start> couple and an infant being held by the male sitting next to pond with near by stroller <end>
1022454428_b6b660a67b.jpg,<start> couple sit on the grass with baby and stroller <end>
1022454428_b6b660a67b.jpg,<start> couple with their newborn baby sitting under tree facing lake <end>
1022454428_b6b660a67b.jpg,<start> man and woman care for an infant along the side of body of water <end>
1022454428_b6b660a67b.jpg,<start> couple with baby sit outdoors next to their stroller <end>
1022975728_75515238d8.jpg,<start> black dog running in the surf <end>
1022975728_75515238d8.jpg,<start> black lab with tags frolicks in the water <end>
1022975728_75515238d8.jpg,<start> dog splashes in the water <end>
1022975728_75515238d8.jpg,<start> the black dog runs through the water <end>
1022975728_75515238d8.jpg,<start> this is black dog splashing in the water <end>
102351840_323e3de834.jpg,<start> man drilling hole in the ice <end>
102351840_323e3de834.jpg,<start> man is drilling through the frozen ice of pond <end>
102351840_323e3de834.jpg,<start> person in the snow drilling hole in the ice <end>
102351840_323e3de834.jpg,<start> person standing on frozen lake <end>
102351840_323e3de834.jpg,<start> two men are ice fishing <end>
